status,gap,time_s,objective_value,active_vars,instance,method,settings
integer optimal solution,0.0,367.903,333.0,"{'x_1_43': 1.0, 'x_2_7': 1.0, 'x_5_29': 1.0, 'x_7_20': 1.0, 'x_9_41': 1.0, 'x_10_5': 1.0, 'x_11_38': 1.0, 'x_13_40': 1.0, 'x_14_30': 1.0, 'x_15_50': 1.0, 'x_16_45': 1.0, 'x_19_34': 1.0, 'x_20_24': 1.0, 'x_21_10': 1.0, 'x_23_11': 1.0, 'x_24_13': 1.0, 'x_25_32': 1.0, 'x_28_35': 1.0, 'x_29_15': 1.0, 'x_30_33': 1.0, 'x_31_21': 1.0, 'x_32_37': 1.0, 'x_33_1': 1.0, 'x_34_25': 1.0, 'x_35_31': 1.0, 'x_37_23': 1.0, 'x_38_16': 1.0, 'x_40_19': 1.0, 'x_41_14': 1.0, 'x_42_9': 1.0, 'x_43_2': 1.0, 'x_45_28': 1.0, 'x_50_42': 1.0, 'bici_21_48': 1.0, 'bici_21_49': 1.0, 'auto_9_3': 1.0, 'auto_9_4': 1.0, 'auto_9_6': 1.0, 'auto_9_18': 1.0, 'auto_9_44': 1.0, 'auto_37_8': 1.0, 'auto_37_22': 1.0, 'auto_37_36': 1.0, 'auto_37_39': 1.0, 'auto_37_46': 1.0, 'auto_38_12': 1.0, 'auto_38_17': 1.0, 'auto_38_26': 1.0, 'auto_38_27': 1.0, 'auto_38_47': 1.0, 'y_bici_21': 1.0, 'y_auto_9': 1.0, 'y_auto_37': 1.0, 'y_auto_38': 1.0}",medium_instance,New,ns0_hf1_cuts0_ps0
integer optimal solution,0.0,17.715,329.0,"{'x_1_33': 1.0, 'x_2_43': 1.0, 'x_3_28': 1.0, 'x_4_35': 1.0, 'x_5_29': 1.0, 'x_6_46': 1.0, 'x_7_20': 1.0, 'x_8_13': 1.0, 'x_9_3': 1.0, 'x_10_27': 1.0, 'x_11_23': 1.0, 'x_12_38': 1.0, 'x_13_40': 1.0, 'x_14_41': 1.0, 'x_15_50': 1.0, 'x_16_44': 1.0, 'x_17_22': 1.0, 'x_18_1': 1.0, 'x_19_34': 1.0, 'x_20_24': 1.0, 'x_21_48': 1.0, 'x_22_19': 1.0, 'x_23_17': 1.0, 'x_24_26': 1.0, 'x_25_18': 1.0, 'x_26_12': 1.0, 'x_27_7': 1.0, 'x_28_5': 1.0, 'x_29_15': 1.0, 'x_30_14': 1.0, 'x_31_16': 1.0, 'x_32_39': 1.0, 'x_33_30': 1.0, 'x_34_25': 1.0, 'x_35_31': 1.0, 'x_36_2': 1.0, 'x_37_32': 1.0, 'x_38_11': 1.0, 'x_39_42': 1.0, 'x_40_36': 1.0, 'x_41_8': 1.0, 'x_42_6': 1.0, 'x_43_45': 1.0, 'x_44_10': 1.0, 'x_45_9': 1.0, 'x_46_47': 1.0, 'x_47_4': 1.0, 'x_48_37': 1.0, 'x_49_21': 1.0, 'x_50_49': 1.0}",medium_instance,Current,ns1_hfA_cuts0_ps1
integer optimal solution,0.0,14.286,329.0,"{'x_1_33': 1.0, 'x_2_43': 1.0, 'x_3_28': 1.0, 'x_4_35': 1.0, 'x_5_29': 1.0, 'x_6_46': 1.0, 'x_7_20': 1.0, 'x_8_13': 1.0, 'x_9_3': 1.0, 'x_10_27': 1.0, 'x_11_23': 1.0, 'x_12_38': 1.0, 'x_13_40': 1.0, 'x_14_41': 1.0, 'x_15_50': 1.0, 'x_16_44': 1.0, 'x_17_22': 1.0, 'x_18_1': 1.0, 'x_19_34': 1.0, 'x_20_24': 1.0, 'x_21_48': 1.0, 'x_22_19': 1.0, 'x_23_17': 1.0, 'x_24_26': 1.0, 'x_25_18': 1.0, 'x_26_12': 1.0, 'x_27_7': 1.0, 'x_28_5': 1.0, 'x_29_15': 1.0, 'x_30_14': 1.0, 'x_31_16': 1.0, 'x_32_39': 1.0, 'x_33_30': 1.0, 'x_34_25': 1.0, 'x_35_31': 1.0, 'x_36_2': 1.0, 'x_37_32': 1.0, 'x_38_11': 1.0, 'x_39_42': 1.0, 'x_40_36': 1.0, 'x_41_8': 1.0, 'x_42_6': 1.0, 'x_43_45': 1.0, 'x_44_10': 1.0, 'x_45_9': 1.0, 'x_46_47': 1.0, 'x_47_4': 1.0, 'x_48_37': 1.0, 'x_49_21': 1.0, 'x_50_49': 1.0}",medium_instance,Current,ns1_hfA_cuts0_ps0
integer optimal solution,0.0,60.173,329.0,"{'x_1_33': 1.0, 'x_2_43': 1.0, 'x_3_28': 1.0, 'x_4_35': 1.0, 'x_5_29': 1.0, 'x_6_46': 1.0, 'x_7_20': 1.0, 'x_8_13': 1.0, 'x_9_3': 1.0, 'x_10_27': 1.0, 'x_11_23': 1.0, 'x_12_38': 1.0, 'x_13_40': 1.0, 'x_14_41': 1.0, 'x_15_50': 1.0, 'x_16_44': 1.0, 'x_17_22': 1.0, 'x_18_1': 1.0, 'x_19_34': 1.0, 'x_20_24': 1.0, 'x_21_48': 1.0, 'x_22_19': 1.0, 'x_23_17': 1.0, 'x_24_26': 1.0, 'x_25_18': 1.0, 'x_26_12': 1.0, 'x_27_7': 1.0, 'x_28_5': 1.0, 'x_29_15': 1.0, 'x_30_14': 1.0, 'x_31_16': 1.0, 'x_32_39': 1.0, 'x_33_30': 1.0, 'x_34_25': 1.0, 'x_35_31': 1.0, 'x_36_2': 1.0, 'x_37_32': 1.0, 'x_38_11': 1.0, 'x_39_42': 1.0, 'x_40_36': 1.0, 'x_41_8': 1.0, 'x_42_6': 1.0, 'x_43_45': 1.0, 'x_44_10': 1.0, 'x_45_9': 1.0, 'x_46_47': 1.0, 'x_47_4': 1.0, 'x_48_37': 1.0, 'x_49_21': 1.0, 'x_50_49': 1.0}",medium_instance,Current,ns2_hfA_cuts0_ps1
integer optimal solution,0.0,1.202,329.0,"{'x_1_33': 1.0, 'x_2_43': 1.0, 'x_3_28': 1.0, 'x_4_35': 1.0, 'x_5_29': 1.0, 'x_6_46': 1.0, 'x_7_20': 1.0, 'x_8_13': 1.0, 'x_9_3': 1.0, 'x_10_27': 1.0, 'x_11_23': 1.0, 'x_12_38': 1.0, 'x_13_40': 1.0, 'x_14_41': 1.0, 'x_15_50': 1.0, 'x_16_44': 1.0, 'x_17_22': 1.0, 'x_18_1': 1.0, 'x_19_34': 1.0, 'x_20_24': 1.0, 'x_21_48': 1.0, 'x_22_19': 1.0, 'x_23_17': 1.0, 'x_24_26': 1.0, 'x_25_18': 1.0, 'x_26_12': 1.0, 'x_27_7': 1.0, 'x_28_5': 1.0, 'x_29_15': 1.0, 'x_30_14': 1.0, 'x_31_16': 1.0, 'x_32_39': 1.0, 'x_33_30': 1.0, 'x_34_25': 1.0, 'x_35_31': 1.0, 'x_36_2': 1.0, 'x_37_32': 1.0, 'x_38_11': 1.0, 'x_39_42': 1.0, 'x_40_36': 1.0, 'x_41_8': 1.0, 'x_42_6': 1.0, 'x_43_45': 1.0, 'x_44_10': 1.0, 'x_45_9': 1.0, 'x_46_47': 1.0, 'x_47_4': 1.0, 'x_48_37': 1.0, 'x_49_21': 1.0, 'x_50_49': 1.0}",medium_instance,Current,ns0_hf0_cuts0_ps1
integer optimal solution,0.0,9.692,329.0,"{'x_1_33': 1.0, 'x_2_43': 1.0, 'x_3_28': 1.0, 'x_4_35': 1.0, 'x_5_29': 1.0, 'x_6_46': 1.0, 'x_7_20': 1.0, 'x_8_13': 1.0, 'x_9_3': 1.0, 'x_10_27': 1.0, 'x_11_23': 1.0, 'x_12_38': 1.0, 'x_13_40': 1.0, 'x_14_41': 1.0, 'x_15_50': 1.0, 'x_16_44': 1.0, 'x_17_22': 1.0, 'x_18_1': 1.0, 'x_19_34': 1.0, 'x_20_24': 1.0, 'x_21_48': 1.0, 'x_22_19': 1.0, 'x_23_17': 1.0, 'x_24_26': 1.0, 'x_25_18': 1.0, 'x_26_12': 1.0, 'x_27_7': 1.0, 'x_28_5': 1.0, 'x_29_15': 1.0, 'x_30_14': 1.0, 'x_31_16': 1.0, 'x_32_39': 1.0, 'x_33_30': 1.0, 'x_34_25': 1.0, 'x_35_31': 1.0, 'x_36_2': 1.0, 'x_37_32': 1.0, 'x_38_11': 1.0, 'x_39_42': 1.0, 'x_40_36': 1.0, 'x_41_8': 1.0, 'x_42_6': 1.0, 'x_43_45': 1.0, 'x_44_10': 1.0, 'x_45_9': 1.0, 'x_46_47': 1.0, 'x_47_4': 1.0, 'x_48_37': 1.0, 'x_49_21': 1.0, 'x_50_49': 1.0}",medium_instance,Current,ns0_hf1_cuts0_ps1
integer optimal solution,0.0,13.194,329.0,"{'x_1_33': 1.0, 'x_2_43': 1.0, 'x_3_28': 1.0, 'x_4_35': 1.0, 'x_5_29': 1.0, 'x_6_46': 1.0, 'x_7_20': 1.0, 'x_8_13': 1.0, 'x_9_3': 1.0, 'x_10_27': 1.0, 'x_11_23': 1.0, 'x_12_38': 1.0, 'x_13_40': 1.0, 'x_14_41': 1.0, 'x_15_50': 1.0, 'x_16_44': 1.0, 'x_17_22': 1.0, 'x_18_1': 1.0, 'x_19_34': 1.0, 'x_20_24': 1.0, 'x_21_48': 1.0, 'x_22_19': 1.0, 'x_23_17': 1.0, 'x_24_26': 1.0, 'x_25_18': 1.0, 'x_26_12': 1.0, 'x_27_7': 1.0, 'x_28_5': 1.0, 'x_29_15': 1.0, 'x_30_14': 1.0, 'x_31_16': 1.0, 'x_32_39': 1.0, 'x_33_30': 1.0, 'x_34_25': 1.0, 'x_35_31': 1.0, 'x_36_2': 1.0, 'x_37_32': 1.0, 'x_38_11': 1.0, 'x_39_42': 1.0, 'x_40_36': 1.0, 'x_41_8': 1.0, 'x_42_6': 1.0, 'x_43_45': 1.0, 'x_44_10': 1.0, 'x_45_9': 1.0, 'x_46_47': 1.0, 'x_47_4': 1.0, 'x_48_37': 1.0, 'x_49_21': 1.0, 'x_50_49': 1.0}",medium_instance,Current,ns2_hf5_cuts0_ps1
integer optimal solution,0.0,1.796,329.0,"{'x_1_33': 1.0, 'x_2_43': 1.0, 'x_3_28': 1.0, 'x_4_35': 1.0, 'x_5_29': 1.0, 'x_6_46': 1.0, 'x_7_20': 1.0, 'x_8_13': 1.0, 'x_9_3': 1.0, 'x_10_27': 1.0, 'x_11_23': 1.0, 'x_12_38': 1.0, 'x_13_40': 1.0, 'x_14_41': 1.0, 'x_15_50': 1.0, 'x_16_44': 1.0, 'x_17_22': 1.0, 'x_18_1': 1.0, 'x_19_34': 1.0, 'x_20_24': 1.0, 'x_21_48': 1.0, 'x_22_19': 1.0, 'x_23_17': 1.0, 'x_24_26': 1.0, 'x_25_18': 1.0, 'x_26_12': 1.0, 'x_27_7': 1.0, 'x_28_5': 1.0, 'x_29_15': 1.0, 'x_30_14': 1.0, 'x_31_16': 1.0, 'x_32_39': 1.0, 'x_33_30': 1.0, 'x_34_25': 1.0, 'x_35_31': 1.0, 'x_36_2': 1.0, 'x_37_32': 1.0, 'x_38_11': 1.0, 'x_39_42': 1.0, 'x_40_36': 1.0, 'x_41_8': 1.0, 'x_42_6': 1.0, 'x_43_45': 1.0, 'x_44_10': 1.0, 'x_45_9': 1.0, 'x_46_47': 1.0, 'x_47_4': 1.0, 'x_48_37': 1.0, 'x_49_21': 1.0, 'x_50_49': 1.0}",medium_instance,Current,ns0_hf10_cuts0_ps1
integer optimal solution,0.0,17.467,329.0,"{'x_1_33': 1.0, 'x_2_43': 1.0, 'x_3_28': 1.0, 'x_4_35': 1.0, 'x_5_29': 1.0, 'x_6_46': 1.0, 'x_7_20': 1.0, 'x_8_13': 1.0, 'x_9_3': 1.0, 'x_10_27': 1.0, 'x_11_23': 1.0, 'x_12_38': 1.0, 'x_13_40': 1.0, 'x_14_41': 1.0, 'x_15_50': 1.0, 'x_16_44': 1.0, 'x_17_22': 1.0, 'x_18_1': 1.0, 'x_19_34': 1.0, 'x_20_24': 1.0, 'x_21_48': 1.0, 'x_22_19': 1.0, 'x_23_17': 1.0, 'x_24_26': 1.0, 'x_25_18': 1.0, 'x_26_12': 1.0, 'x_27_7': 1.0, 'x_28_5': 1.0, 'x_29_15': 1.0, 'x_30_14': 1.0, 'x_31_16': 1.0, 'x_32_39': 1.0, 'x_33_30': 1.0, 'x_34_25': 1.0, 'x_35_31': 1.0, 'x_36_2': 1.0, 'x_37_32': 1.0, 'x_38_11': 1.0, 'x_39_42': 1.0, 'x_40_36': 1.0, 'x_41_8': 1.0, 'x_42_6': 1.0, 'x_43_45': 1.0, 'x_44_10': 1.0, 'x_45_9': 1.0, 'x_46_47': 1.0, 'x_47_4': 1.0, 'x_48_37': 1.0, 'x_49_21': 1.0, 'x_50_49': 1.0}",medium_instance,Current,ns1_hfA_cuts1_ps1
integer optimal solution,0.0,16.203,329.0,"{'x_1_33': 1.0, 'x_2_43': 1.0, 'x_3_28': 1.0, 'x_4_35': 1.0, 'x_5_29': 1.0, 'x_6_46': 1.0, 'x_7_20': 1.0, 'x_8_13': 1.0, 'x_9_3': 1.0, 'x_10_27': 1.0, 'x_11_23': 1.0, 'x_12_38': 1.0, 'x_13_40': 1.0, 'x_14_41': 1.0, 'x_15_50': 1.0, 'x_16_44': 1.0, 'x_17_22': 1.0, 'x_18_1': 1.0, 'x_19_34': 1.0, 'x_20_24': 1.0, 'x_21_48': 1.0, 'x_22_19': 1.0, 'x_23_17': 1.0, 'x_24_26': 1.0, 'x_25_18': 1.0, 'x_26_12': 1.0, 'x_27_7': 1.0, 'x_28_5': 1.0, 'x_29_15': 1.0, 'x_30_14': 1.0, 'x_31_16': 1.0, 'x_32_39': 1.0, 'x_33_30': 1.0, 'x_34_25': 1.0, 'x_35_31': 1.0, 'x_36_2': 1.0, 'x_37_32': 1.0, 'x_38_11': 1.0, 'x_39_42': 1.0, 'x_40_36': 1.0, 'x_41_8': 1.0, 'x_42_6': 1.0, 'x_43_45': 1.0, 'x_44_10': 1.0, 'x_45_9': 1.0, 'x_46_47': 1.0, 'x_47_4': 1.0, 'x_48_37': 1.0, 'x_49_21': 1.0, 'x_50_49': 1.0}",medium_instance,Current,ns2_hf5_cuts1_ps1
integer optimal solution,0.0,9.119,329.0,"{'x_1_33': 1.0, 'x_2_43': 1.0, 'x_3_28': 1.0, 'x_4_35': 1.0, 'x_5_29': 1.0, 'x_6_46': 1.0, 'x_7_20': 1.0, 'x_8_13': 1.0, 'x_9_3': 1.0, 'x_10_27': 1.0, 'x_11_23': 1.0, 'x_12_38': 1.0, 'x_13_40': 1.0, 'x_14_41': 1.0, 'x_15_50': 1.0, 'x_16_44': 1.0, 'x_17_22': 1.0, 'x_18_1': 1.0, 'x_19_34': 1.0, 'x_20_24': 1.0, 'x_21_48': 1.0, 'x_22_19': 1.0, 'x_23_17': 1.0, 'x_24_26': 1.0, 'x_25_18': 1.0, 'x_26_12': 1.0, 'x_27_7': 1.0, 'x_28_5': 1.0, 'x_29_15': 1.0, 'x_30_14': 1.0, 'x_31_16': 1.0, 'x_32_39': 1.0, 'x_33_30': 1.0, 'x_34_25': 1.0, 'x_35_31': 1.0, 'x_36_2': 1.0, 'x_37_32': 1.0, 'x_38_11': 1.0, 'x_39_42': 1.0, 'x_40_36': 1.0, 'x_41_8': 1.0, 'x_42_6': 1.0, 'x_43_45': 1.0, 'x_44_10': 1.0, 'x_45_9': 1.0, 'x_46_47': 1.0, 'x_47_4': 1.0, 'x_48_37': 1.0, 'x_49_21': 1.0, 'x_50_49': 1.0}",medium_instance,Current,ns0_hf1_cuts0_ps0
